,title,vote,genre,country,time,grade,poster_path,actor_1,actor_2,actor_3,year,month,day,content
15,우리가 죽기를 바라는 사람들,관람객 평점 없음,['스릴러'],미국,102분,전체 관람가,https://movie-phinf.pstatic.net/20210903_95/1630636189023FPfU2_JPEG/movie_image.jpg?type=m203_290_2,시옵한 폴론,,,2021,09,,"올해 대학에 입학한 첫째 아들 지미의 클럽 활동과 기상 시간까지 챙기는 바바라는 네 아이의 엄마다.어느 날, 대학 클럽 신고식에서 지미가 사망하는 사고가 발생하지만 어느 누구도 책임지려 하지 않는다.긴 시간을 침묵으로 기다린 바바라는 잠시 집안일을 미뤄 둔 채 지미를 위한 프로젝트를 시작하는데..."
17,뷰티풀 다크니스,관람객 평점 없음,"['드라마', '멜로/로맨스']",미국,93분,15세 관람가,https://movie-phinf.pstatic.net/20210818_26/1629264123119fRKBg_JPEG/movie_image.jpg?type=m203_290_2,섀넌 타벳, 에이단 터너, 벤자민 워커,2021,09,,"[""'선택적 지각 오류'라는 증상으로 살아 있는 어머니의 존재를 인식하지 못한 채 살고 있는 엘리자베스., 어느 날, 남자친구이자 심리학자인 파머의 사무실에 갔다가자신이 인식하지 못하는 또 다른 존재가 있다는 걸 알게 되면서 엘리자베스는 혼란에 빠지는데..."
18,극장판 마이 리틀 포니: 새로운 희망,관람객 평점 없음,"['애니메이션', '모험']",미국,90분,전체 관람가,https://movie-phinf.pstatic.net/20210902_69/1630551063783FBxOi_JPEG/movie_image.jpg?type=m203_290_2,제인 크라코스키, 바네사 허진스, 제임스 마스던,2021,09,22,"포니, 페가수스, 유니콘이 함께 조화를 이루며 살던 이퀘스트리아.하지만 평화가 사라져버린 그곳, 신비로운 마법의 힘마저 잃었다.예전처럼 모두가 친구가 될 수 있다고 믿는 어스 포니 ‘써니’에게신비한 뿔을 가진 유니콘 ‘이지’가 나타나고, 운명처럼 친구가 된 둘은잃어버린 이퀘스트리아의 마법과 우정을 되찾기 위해 머나먼 모험을 떠나는데…과연, 친구들은 사라진 마법의 힘을 되찾을 수 있을까?거대한 세계를 뒤바꿀 작은 포니들의 새로운 모험이 시작된다!"
20,사제로부터 온 편지,관람객 평점 없음,"['다큐멘터리', '드라마']",한국,100분,전체 관람가,https://movie-phinf.pstatic.net/20210811_91/1628665925767HcBiN_JPEG/movie_image.jpg?type=m203_290_2,김학렬, 김용태, 김옥희,2021,08,19,"1845년, 사제직에 오른 첫 조선인이 탄생한다.', 그의 이름 성 김대건 안드레아.', ', 천주교를 향한 온갖 박해와 고난 속에서도', 평등사상과 박애주의를 실천하고자 했던 그는', ', 서양 성직자 입국 해로 탐색 도중 체포되어,', 25년 25일이라는 짧은 생을 마치고', 한국인 사제로서 최초의 순교자가 되었다.', ', 절망의 시대, 희망을 향한 여정을 걸었던 청년 김대건이', 2021년, 고난의 시간을 겪고 있을 청년들에게', 격려와 새로운 희망의 메시지를 전한다."
22,킬러의 보디가드 2: 킬러의 와이프,관람객 평점 없음,"['액션', '코미디', '범죄']",미국,100분,15세 관람가,https://movie-phinf.pstatic.net/20210811_5/1628669399436Gf71V_JPEG/movie_image.jpg?type=m203_290_2,라이언 레이놀즈, 사무엘 L. 잭슨, 셀마 헤이엑,2021,08,04,"미치광이 킬러 ‘다리우스’의 경호를 맡은 후 ', 매일 밤 그의 악몽을 꾸는 보디가드 ‘마이클’ 앞에 나타난 무대포 직진녀 ‘소니아’', 남편 ‘다리우스’가 납치되었다며 다짜고짜 그를 구하러 가야 한다고 하는데…', ', 한 명도 버거운데 그의 와이프까지 플러스?!', 설상가상으로 유럽 전역을 위기로 몰아넣는 사건들이 연속적으로 터지고', 인터폴의 비밀스러운 의뢰까지 추가되는데..', ', 2배 더 강력한, 2배 더 골때리는, 2배 더 커진', 모두가 기다린 1+1 트리플 환장 액션 블록버스터가 온다!"
26,언노운 아이덴티티,관람객 평점 없음,"['액션', '스릴러']",미국,84분,15세 관람가,https://movie-phinf.pstatic.net/20210723_42/1627031882745h9l1X_JPEG/movie_image.jpg?type=m203_290_2,섀넌 루치오,,,2021,08,,"기억을 잃고 한 호텔 방에서 일어난 여자. 그리고 그 방에서 발견된 시체.지금 당장 도망쳐야 한다는 한 통의 전화를 받은 그녀는 영문도 모른 채 도망치기 시작한다.의문의 조직이 그녀를 뒤쫓기 시작하고, 여자는 일촉즉발의 상황에서자신의 언니라고 주장하는 '빅토리아'의 도움으로 가까스로 위기를 모면한다., 하지만 조직은 끈질기게 그녀를 쫓아오고,여자는 조금씩 잃어버린 기억의 조각들을 되찾으면서 혼란에 빠지는데…"
28,데빌스 나잇,관람객 평점 없음,"['액션', '범죄', '공포']",미국,97분,15세 관람가,https://movie-phinf.pstatic.net/20210727_259/16273502080747uURQ_JPEG/movie_image.jpg?type=m203_290_2,나폴렌,,,2021,08,05,"참전 용사였던 ‘빌리’는 고향으로 돌아와 경찰이 되고마을에서 벌어지는 잔혹한 연쇄 살인의 수사를 맡게 된다.그러나 살인범에 대한 단서를 찾을 수 없어수사는 점점 미궁에 빠진다.그러던 중, 단서를 얻기 위해 소개받은디트로이트 박물관의 ‘카히르’ 박사를 만난 ‘빌리’는그곳에서 전설 속 괴물 이야기를 듣게 되는데…"
29,척살대,관람객 평점 없음,['액션'],중국,86분,15세 관람가,https://movie-phinf.pstatic.net/20210727_110/1627365064806pJX0i_JPEG/movie_image.jpg?type=m203_290_2,진일나,,,2021,08,03,"마도문의 제자 ‘아청’은 사부의 명으로 당문의 장문에게 서신을 전달하려 길을 떠난다.허나 당문을 비롯한 강호의 각 무림 장문들이 원인 모를 독에 중독되어 사경을 헤매게 되고그 원인이 불양수의 음모임을 알게 된 ‘아청’은 창술의 ‘복풍’, 상인 ‘강약신’등 동료들과 함께강호의 평화를 위한 마지막 전투를 준비한다."
32,블러드 비스트,관람객 평점 없음,"['액션', '공포']",미국,80분,청소년 관람불가,https://movie-phinf.pstatic.net/20210720_202/1626764332857gKHid_JPEG/movie_image.jpg?type=m203_290_2,스티븐 모라나, 아리 밀런, 콜므 포어,2021,08,26,"붉은 보름달이 뜨는 특별한 저녁, 새로운 공포 게임 앱 ""Werewolves Awaken""의 화려한 런칭 파티가 성대하게 열리고 있다. 천재적인 젊은 개발자 어거스트는 회사에서 떠밀리다시피 파티에 참석한 상황. 게임을 ""야수의 표식""으로 비난하는 로만 신부의 갑작스런 등장으로 어수선해지고, 더구나 잔인하게 훼손된 시체가 발견되면서 파티는 아수라장이 된다. 마침내 살인자는 무시무시한 이빨과 발톱을 드러내고 생존자들과의 처절한 살인게임이 벌어진다."
33,대환장파티,관람객 평점 없음,"['드라마', '코미디']",한국,76분,청소년 관람불가,https://movie-phinf.pstatic.net/20210712_55/1626077437044RUiWr_JPEG/movie_image.jpg?type=m203_290_2,류혜린, 노진원, 안민영,2021,07,22,"<뻘짓> : 밤의 황제이자 세상 무서울 것 없는 망나니, ‘승민’. 그런 그에게 인생 가장 큰 걸림돌은 바로 입대다.군 면제 사유에 아무 해당 사항이 없어 슬픈 ‘승민’에게 ‘희성’과 ‘정민’이 군 면제의 길을 제시하는데...더 놀고 싶은 세 남자의 황당무계 ‘뻘짓’ 감행기.<군대 가는 남자> : 군대 대신 병역특례업체를 갈 예정이던 ‘창선’은 갑자기 바뀐 법 때문에 군대에 끌려갈 상황에 처한다.우선 연기하고 보자는 생각으로 인터넷에서 정보를 찾다가 ‘군대 가기 싫은 사람들의 모임’이라는 카페를 발견하는데...<동상이몽> : 남편이 사고로 죽고, 홀로 시어머니를 모시며 살아가는 ‘말자’.유산 상속을 목적으로 내연남 ‘하남’과 작당모의해 시어머니를 죽이려 하지만 매번 실패한다.그러던 어느 날 코로나19가 발생하자, ‘말자’는 마지막 희망(?)을 걸고 시어머니의 죽음을 기획하는데...<새벽 3시 르네상스> : 어느 날씨 좋은 가을밤 일요일 새벽 3시.오늘도 모자란 술과 감성을 채워주는 편의점에 각양각색 다양한 사람들이 모이기 시작한다.이곳은 유토피아(Utopia)일까?"
34,아메리칸 트레이터,관람객 평점 없음,"['전쟁', '드라마']",미국,108분,15세 관람가,https://movie-phinf.pstatic.net/20210714_100/16262493905488HqJi_JPEG/movie_image.jpg?type=m203_290_2,알 파치노, 토마스 크레취만, 미도우 윌리암스,2021,08,,"제2차 세계 대전이 끝난 직후,미국 정부는 평범한 여성을 반역죄 혐의 8건으로 긴급 체포한다.그녀의 이름은 밀드레드 길라스 a.k.a '액세스 샐리'., 밀드레드는 독일 나치 선전부 장관 '괴벨스'(토마스 크레취만)의 지휘 아래,, 미군의 사기를 떨어트리는 선전 방송을 진행해 미국 국민들의 증오를 한 몸에 받는다.그녀의 반역죄 유무를 결정하는 재판에 온 국민의 관심이 쏟아지고,유명 변호사인 '제임스 라플린'(알 파치노)이 밀드레드의 변호를 맡게 되면서 새로운 국면을 맞이하는데...""]"
35,건담 G의 레콘기스타 2: 벨리 격진,관람객 평점 없음,"['애니메이션', 'SF', '액션']",일본,94분,12세 관람가,https://movie-phinf.pstatic.net/20210730_26/1627610398305yge1y_JPEG/movie_image.jpg?type=m203_290_2,이시이 마크, 시마무라 유우, 후쿠이 유카리,2021,08,06,"벨리 일행을 구출하기 위해 출격한 ‘델렌센’이 해적 부대의 메가파우나를 급습한다.', 싸움의 상대가 자신의 스승 ‘델렌센’임을 깨닫지 못한 채 G-셀프 안에서 치열하게 맞서 싸우는 ‘벨리’.', 한편, G-셀프 기체와 함께 ‘라라이야 먼데이’까지도 노리고 있는 캐피털 아미는 마스크 부대를 연이어 출격시킨다.', 그 배후에 있는 위협적인 존재는 과연 무엇이며, ‘벨리’와 ‘아이다’는 캐피털 아미를 막아낼 수 있을 것인가?"
36,드라큘라 2021,관람객 평점 없음,['공포'],아르헨티나,85분,전체 관람가,https://movie-phinf.pstatic.net/20210705_262/1625469196242m2MiM_JPEG/movie_image.jpg?type=m203_290_2,제라르도 로마노,,,2021,08,05,"세실리아와 마르틴 모자는 교통사고를 당했다. ', 사고 발생 사흘째, ', 그녀는 혼자 아들을 찾아 헤매고 있지만 실마리조차 없다. ', 그러던 중 최근 3일간 발생한 의문의 살인 사건들에 자신 ', 그리고 미지의 존재가 연관된 것을 느끼게 된다. ', 결국 살육의 주범을 찾던 그녀 앞에 상상을 초월한 ', 거대한 태초의 악이 나타난다."
37,위 윌 락 유,관람객 평점 없음,['뮤지컬'],미국,107분,전체 관람가,https://movie-phinf.pstatic.net/20210705_272/1625472891271MhCXb_JPEG/movie_image.jpg?type=m203_290_2,브라이언 바움가트너,,,2021,07,,"크리스천 록이 열풍을 일으키던 1986년 여름10대 소년 마이클과 친구들은 크리스천 메탈 밴드 3:16을 결성한다.이들의 뛰어난 실력 덕분에 밴드는 금세 유명세를 얻게 되고, 유명 밴드 매니저 출신의 스킵이 지방 순회공연을 제안한다.교회와 캠프를 중심으로 공연을 하며 점점 더 큰 인기를 누리게 된 친구들. 하지만, 새로운 멤버 영입 문제로 다툼이 발생하는데..."
41,적인걸: 나찰의 비밀,관람객 평점 없음,['액션'],중국,91분,12세 관람가,https://movie-phinf.pstatic.net/20210625_128/1624610537212QYUqa_JPEG/movie_image.jpg?type=m203_290_2,양공여,,,2021,07,09,"당나라 황궁에서 복을 기원하는 칠묘 대전이 열리는 날, 하늘에서 거대한 나찰이 나타나 측천무후를 주살하겠다고 한다. 이에 조정은 요괴가 나타나 무씨를 멸할 거라는 국사의 예언이 적중했다며 혼란에 빠진다. 이 사건을 맡게 된 적인걸은 단서를 찾아 전설 속 북명유도로 향하지만 사건은 점점 더 오리무중에 빠진다. 중단된 칠묘 대전이 다시 거행되기까지 남은 시간은 단 5일.과연 적인걸은 그 안에 나찰의 비밀을 풀 수 있을 것인가?"
43,스페셜 포스 전랑,관람객 평점 없음,"['판타지', '액션']",중국,72분,15세 관람가,https://movie-phinf.pstatic.net/20210628_46/1624868498168Y7GII_JPEG/movie_image.jpg?type=m203_290_2,진성욱,,,2021,07,,"강납시 공안 특경대들이 임무 수행 중에 습격을 받아 한 명은 사망하고 나머지 셋은 부상당한 채 납치를 당한다. 범인은 검은 조직 풍구파의 우두머리 풍구성으로, 그의 목적은 감옥에 있는 동생 풍구량과 인질들을 교환하는 것이다. 특경대 대장 소극은 이번 임무를 맡게 되었지만 별다른 진전을 보이지 못한다. 그러던 와중 지난번 풍구파 소탕 작전에서 군기를 어기고 특전사를 전역한 주양이 그의 앞에 나타난다. 풍구성으로 인해 중대장을 잃은 주양은 풍구성을 잡고 싶다며 작전에 참가 의지를 밝힌다."
44,다크 스펠,관람객 평점 없음,"['멜로/로맨스', '공포']",러시아 연방,92분,청소년 관람불가,https://movie-phinf.pstatic.net/20210830_18/1630313073309weuuD_JPEG/movie_image.jpg?type=m203_290_2,야나 옌자예바, 콘스탄틴 벨로샤프카, 일리야 예르몰로프,2021,09,02,"“우리를 두 양초처럼 얽히게 해 주세요첫 번째 초는 당신 것, 두 번째 초는 내 것당신은 내 것, 나는 당신의 것”사랑하는 남자에게 버림받은 제냐.그의 마음을 되돌리기 위해 ‘검은 결혼식’이라는 주문을 걸고 사랑을 되찾는다.하지만 그녀를 향한 그의 사랑은 점점 광적인 집착을 보이는데…"
45,서유기: 재세요왕,관람객 평점 없음,['애니메이션'],중국,95분,전체 관람가,https://movie-phinf.pstatic.net/20210927_208/1632721865632KClqK_JPEG/movie_image.jpg?type=m203_290_2,최승훈, 윤세웅, 서정익,2021,09,30,"삼장법사에 의해 오행산 기슭에서 구출된‘손오공’은 과오를 뉘우치고 경전을 배우기 위해 서역으로 길을 떠난다.긴 여정의 길, 배고픔을 주체하지 못한 ‘손오공’과 친구들은만년의 한번씩 열린다는 인삼과 열매를 몰래 따먹게 되고설상가상 신선수라 여기는 인삼과 나무를 파괴해 버리자나무 아래 봉인되어 있던 요괴의 왕 ‘원체’가 깨어나고만다.세상은 혼란에 휩싸이고, 요괴들은 날뛰기 시작하는데..‘손오공’, 전설에 맞서 세상을 구할 수 있을 것인가!"
48,공작조: 현애지상,관람객 평점 없음,"['범죄', '드라마', '스릴러']",중국,120분,15세 관람가,https://movie-phinf.pstatic.net/20210917_12/1631847362405tvt9o_JPEG/movie_image.jpg?type=m203_290_2,장한위, 위허웨이, 주아문,2021,09,16,"냉전이 감도는 1931년 중국, 소련에서 훈련을 받고 돌아온 4명의 특수요원은작전명 ‘새벽’이라는 비밀 임무에 착수한다.순조로울 것만 같았던 그들의 작전은한 반역자에 의해 위협에 휩싸이게 되고그 누구도 믿을 수 없는 일말의 상황 속, 이들의 숨통은 점점 조여오기 시작하는데..1931년, 암호명 ‘새벽’조국을 위한 이들의 작전이 시작된다!"
51,신 강시선생,관람객 평점 없음,"['공포', '액션', '스릴러']",중국,78분,15세 관람가,https://movie-phinf.pstatic.net/20210715_85/1626336755323L7t3E_JPEG/movie_image.jpg?type=m203_290_2,전소호, 서소강,,2021,08,,배고픈 귀신들을 위한 귀신절에갑자기 출몰한 강시들로마을은 위기에 빠지게 된다.혼비백산이 된 마을을 구하기 위해사투를 벌이는 퇴사마 ‘하오’는이 사태에 무시무시한 음모가숨겨져 있다는 것을 밝혀내는데…역대급 퇴마 호러액션이 온다!
52,콰이어트 존,관람객 평점 없음,['스릴러'],영국,80분,전체 관람가,https://movie-phinf.pstatic.net/20210609_281/1623202674081c0p7P_JPEG/movie_image.jpg?type=m203_290_2,수지 프란시스 가튼,,,2021,07,,"오랜 시간 해외에서 군 생활을 한 마틴은 크리스마스를 맞아 고향에서 가족과 함께 시간을 보낸다.그해 겨울, 고향의 연례 전통 축제인 '드로빙' 하루 전날에 여동생 메건이 실종되는 사건이 발생한다., 1년 후, 우연히 메건의 친구 테스를 만난 마틴.테스에게서 집단 종교 단체 이야기를 듣게 된 마틴은 동생의 실종 사건과 연관되어 있다고 느끼는데..."
53,피어 오브 레인,관람객 평점 없음,"['드라마', '공포', '스릴러']",미국,109분,15세 관람가,https://movie-phinf.pstatic.net/20210716_205/1626417712090wldC2_JPEG/movie_image.jpg?type=m203_290_2,매디슨 아이스먼, 이스라엘 브로우사드, 캐서린 헤이글,2021,07,22,"정신분열증을 앓고 있는 10대 소녀 ‘레인’어느 날, 옆집에 살고 있는 학교 선생님의 다락방에 감금되어 있는 어린 소녀를 보고 납치라고 의심하기 시작한다.누구도 그녀의 말을 믿어주지 않지만 유일하게 전학생 ‘케일럽’만이 그녀를 믿고 도와준다.‘레인’은 진실을 파헤치기 위해 몰래 옆집으로 들어가게 되는데…!과연 소녀의 정체는 무엇일까?"
54,졸트,관람객 평점 없음,['액션'],미국,91분,15세 관람가,https://movie-phinf.pstatic.net/20210927_93/1632732650895zgP9f_JPEG/movie_image.jpg?type=m203_290_2,케이트 베킨세일, 스탠리 투치, 바비 카나베일,2021,10,14,사랑하는 남친을 잃은 그녀.더 이상의 통제는 필요 없다.제대로 돌아버린 자.그녀의 숨은 능력이 깨어난다!백만 볼트 짜릿한 액션이 시작된다!
55,라스트 히어로즈,관람객 평점 없음,"['액션', 'SF']",이탈리아,136분,청소년 관람불가,https://movie-phinf.pstatic.net/20210611_76/1623391808579pwIFv_PNG/movie_image.jpg?type=m203_290_2,로베르토 단토나, 안나마리아 로루소 ,,2021,07,,"사악한 마녀에 대한 전설이 내려오는 노아라 마을.알란과 친구들은 우연히 들어간 숲속에서 마녀가 봉인된 관을 발견하고 믿을 수 없는 광경을 목격한다.20년 후, 마을에서 발생한 동물 연쇄 살해 사건을 조사하기 위해 고향으로 돌아온 알란은오랜만에 친구들을 만나 과거의 사건을 회상하는데..."
57,황룡신장,관람객 평점 없음,"['액션', '판타지']",중국,74분,15세 관람가,https://movie-phinf.pstatic.net/20210614_99/1623658503805WdiEQ_JPEG/movie_image.jpg?type=m203_290_2,임풍화, 우심연,,2021,06,,"청조 시기, 외진 임강현에서 두 명의 현령이 연이어 구렁이에 살해당해 인심이 흉흉했다. 이 위험과 재난의 때에 어전 시위 소걸아와 철교삼은 황제의 명으로 임강현으로 가서 구렁이 살인사건을 조사하게 된다. 두 사람이 임강현에 갔을 때 그곳은 구렁이 신에게 제사를 지내는 것이 성행하고 있었고 백성들은 심한 고통 속에 살고 있었다. 두 사람은 고립무원인 상황에서 거지 조직인 개방에 들어가 신분을 숨긴 채 사건을 조사하던 중, 철교삼은 사랑에 빠져 힘들어 하고 소걸아는 극락환약의 피해를 받았지만 내면 속 정의의 신념을 가지고 배후 세력과 마지막 결전을 벌이는데..."
59,적과의 동침,관람객 평점 없음,"['스릴러', '범죄']",미국,94분,청소년 관람불가,https://movie-phinf.pstatic.net/20210615_140/16237326971244Q4Db_JPEG/movie_image.jpg?type=m203_290_2,바트 존슨, 트래비스 클러프,,2021,06,24,"결혼 9년 차 부부 ‘엠마’와 ‘헨리’.', 헤어지려는 ‘엠마’를 붙잡기 위해', ‘헨리’는 결혼기념일 여행을 계획한다.', ', 완벽하기만 했던 여행 첫날밤,', 누군가 침입한 흔적을 발견한 그들은', 다급히 여행지를 떠나려 하지만', 누군가의 시스템 조작으로 내부에 갇히고 만다.', ', 그때, 스피커를 통해 낯선 목소리가 들려오는데…', ', “살고 싶다면 복종하라!”"
62,매드 마더,관람객 평점 없음,"['스릴러', '공포']",미국,98분,전체 관람가,https://movie-phinf.pstatic.net/20210609_7/1623200550852c0J1J_JPEG/movie_image.jpg?type=m203_290_2,멜린다 페이지 해밀턴,,,2021,06,,"오하이오주에서 아들 제이콥을 홀로 키우는 워킹맘 애비.16살이 된 제이콥이 폭력적인 모습을 보이자 CCTV를 설치해 아들을 감시하기 시작한다.그러던 어느 날, 잠에서 깬 애비는 방문 손잡이를 돌리다가 전기 충격으로 쓰러지고정신을 차려 보니 자신이 의자에 묶여 있다는 걸 알게 되는데…"
63,컨저링: 귀신의 집,관람객 평점 없음,['공포'],미국,65분,15세 관람가,https://movie-phinf.pstatic.net/20210609_182/1623201440261E3col_JPEG/movie_image.jpg?type=m203_290_2,스티브 스타놀리스,,,2021,06,,귀신 들린 집으로 유명한 뉴욕 외곽의 흉가.영화 촬영을 위해 감독과 배우들은 흉가에서 하룻밤 지내기로 한다.배우들은 밤늦게까지 흉가에 얽힌 소름 끼치는 이야기를 나누며 즐거워하지만귀신은 존재하지 않는다고 믿는 켈리 홀로 방으로 올라간다.그러던 중 갑자기 이상한 목소리가 들리고 정전이 되어 칠흑 같은 어둠 속에 잠기는데…
