상견니 대만판 13화,관람객 평점 8.17점,"['드라마', '멜로/로맨스', 'SF']",대만,71분,2021.09.08,"['가가연', '허광한', '시백우']",12세 관람가,https://movie-phinf.pstatic.net/20210914_255/1631598588065xqqMt_JPEG/movie_image.jpg?type=m203_290_2,[]
피어썸,관람객 평점 없음,"['공포', '미스터리']",한국,82분,2021.10.07,"['조동혁', '차선우']",15세 관람가,https://movie-phinf.pstatic.net/20210917_247/1631854202877hx03Y_JPEG/movie_image.jpg?type=m203_290_2,"['공연을 할 수 없게 된 ‘승연’(조동혁)의 밴드는', <br/>, '\xa0재정비를 위해 춘천으로 떠나고,', <br/>, '\xa0우연히 그곳 클럽에서 멋진 실력을 보여준 그들은', <br/>, '\xa0정식 공연 제안과, 멋진 숙소까지 제공받게 된다.', <br/>, '\xa0', <br/>, '\xa0하지만 휴식도 잠시 기타리스트 ‘재혁’(차선우)이', <br/>, '\xa0뭔가에 홀린 듯 점점 섬뜩한 행동을 하기 시작하고,', <br/>, '\xa0곧 이 집에 자신들만 있는 게 아니라는 사실을 알게 되는데…']"
저승까지 파티피플!,관람객 평점 없음,['코미디'],미국,109분,['미상'],"['빅토리아 저스티스', '아담 가르시아']",12세 관람가,https://movie-phinf.pstatic.net/20210908_118/1631089177030cNcPw_JPEG/movie_image.jpg?type=m203_290_2,"['캐시의 인생은 언제나 파티였다. 짜릿한 날들이 이어졌다. 하지만 너무 일찍, 너무 갑자기 끝나버린 삶. 이제 그녀는 마무리하지 못한 일들을 끝내야 한다. 저 높은 곳으로 올라가기 위해.']"
피치 오브 타임 극장판,관람객 평점 없음,"['멜로/로맨스', '드라마']",한국,99분,2021.10.21,"['지미 칸 크리사나판', '최재현', '토미 싯티촉 푸에크풀폴']",12세 관람가,https://movie-phinf.pstatic.net/20210930_277/1632967172071mdLTA_JPEG/movie_image.jpg?type=m203_290_2,"['친구 윤오의 연락을 받고 한국에 도착한 피치.', <br/>, '\xa0그렇게 날 반갑게 맞아준 윤오가 사실은 귀신이라고?!', <br/>, '\xa025년째 한국을 떠나지 못하는 떠돌이 태국 귀신 마리오를 만난 피치는', <br/>, '\xa0윤오가 자신이 죽었다는 사실도 모른 채 지박령이 되었다는 걸 알게 된다.', <br/>, '\xa0악귀가 되지 않고 무사히 환생하려면', <br/>, '\xa0죽은 날로부터 49일안에 이승에서 풀지 못한 한을 풀어야 한다!', <br/>, '\xa0도대체 윤오가 그토록 원하던 일이 무엇이었을까?', <br/>, '\xa0함께 버킷리스트를 찾아가면서', <br/>, '\xa0서로를 향한 마음은 점점 커져가고 이별의 시간이 다가오는데…']"
가치 캅시다,관람객 평점 7.40점,['드라마'],한국,93분,2021.10.28,"['김기현', '강형석', '남지우']",15세 관람가,https://movie-phinf.pstatic.net/20211012_41/1634028856253Gj3tU_JPEG/movie_image.jpg?type=m203_290_2,"['대한민국에서 영어 좀 한다는 남자라면 혹하는, 일생에 단 한 번만 지원할 수 있는 군대 카투사. 엘리트 명문대와 금수저들이 장악한 이 곳에 최종 학력 고졸의 말년 병장 추해진이 있다. 어떤 의미로든 전설로 불리는 해진은 학연, 지연, 혈연까지 온갖 차별이 판치는 한국 탈출을 위한 돌파구로 ‘미군’을 준비한다. 갖은 모욕에도 비굴한 웃음을 잃지 않고 최선을 다한 결과, 미군 입대를 눈앞에 두고 느닷없는 절도사건에 휘말리면서 탄원서에5명의 서명을 받아야만 한다. 절친한 동갑내기 후임, 재벌아들 이등병, 전 여친을 빼앗은 후임, 미군이 되기 위해서라면 선임이고 후임이고 누구에게라도 머리를 조아리고 한 명씩 찾아 나선다. 인종주의자 미군헌병에게 총을 맞을 뻔하면서까지 고군분투하던 해진은 필사적으로 서명을 받아내지만, 자신이 미군이 된다는 것을 지독히 반대하는 누군가를 설득해야 하는 마지막 절차가 남았는데...! \r', <br/>, '\xa0\r', <br/>, '\xa0“아무 것도 가진 것 없는 네가 잘 되는 게 그냥 싫어!”\r', <br/>, '\xa0한국을 벗어나기 위한 선택지가 미군이 되는 것, 그 하나만이 아니었다?!\r', <br/>, '\xa0눈 돌아간 해진의 충격적인 반격을 확인하라!']"
클리너:살인마의 집,관람객 평점 없음,['스릴러'],미국,85분,2021.10.28,['청소년 관람불가'],['전체 관람가'],https://movie-phinf.pstatic.net/20211018_184/1634534872528hzJVt_JPEG/movie_image.jpg?type=m203_290_2,"['성희롱이 심한 브래드 밑에서 일하던 사라와 알튼은 어느 날 브래드에게 사기 의심을 받고 해고된다. 아들과 이사를 가기 위해 임시직으로 범죄 현장 특수 청소 일을 하게 되는데, 두 번째로 출근한 장소인 공장에는 끔찍하게 살해된 시체들이 많았다. 살인범이 없는지 확인해 달라는 사라의 말을 듣고 사장인 도리안은 토드에게 현장 확인을 부탁하고, 다른 직원들에겐 하나씩 어둠이 드리우는데...']"
레드 아워,관람객 평점 없음,"['액션', '스릴러']",미국,93분,2021.10,"['타이레스 깁슨', '존 말코비치']",15세 관람가,https://movie-phinf.pstatic.net/20210923_101/1632377012095mnKGS_JPEG/movie_image.jpg?type=m203_290_2,"['아동보호국에서 근무하는 카일은 아프가니스탄 파병지에서 동료를 잃었던 끔찍한 기억으로 힘든 나날을 보낸다.\r', <br/>, '\xa0직장 동료와 맥시코 출신 미아 매니와 함께 계부이자 하원의원인 샘이 운영하는 넬슨 매장에 잠시 들렀던 카일은 매장 직원들 및 다른 고객들과 함께 자살폭탄 테러범의 인질이 된다.\r', <br/>, '\xa0카일은 다른 인질들을 구하기 위해 테러범과 목숨을 건 싸움 끝에 테러범들을 제압하고 인질들과 함께 폭파 직전에 매장에서 탈출해야만 하는데...']"
미켈란젤로,관람객 평점 8.14점,"['드라마', '다큐멘터리']",이탈리아,97분,2021.09.29,['12세 관람가'],['전체 관람가'],https://movie-phinf.pstatic.net/20210909_57/1631165983167dxDxX_JPEG/movie_image.jpg?type=m203_290_2,['미켈란젤로의 생애와 작품 세계를 다룬 다큐멘터리']
비하인드 유,관람객 평점 없음,['공포'],미국,86분,2021.10.28,"['애디 밀러', '잔 브로버그 펠트', '필립 브로디']",15세 관람가,https://movie-phinf.pstatic.net/20211006_242/16334966809722d0b0_JPEG/movie_image.jpg?type=m203_290_2,"['엄마의 갑작스러운 죽음으로\r', <br/>, '\xa0‘베스’ 이모의 집으로 오게 된 ‘올리비아’와 ‘클레어’.\r', <br/>, '\xa0그날 밤, 기묘한 목소리를 듣게 된 ‘클레어’는 언니 몰래\r', <br/>, '\xa0출입금지였던 지하실로 들어가게 되고,\r', <br/>, '\xa0그곳에서 충격적인 실체와 마주하게 되는데…']"
일곱 개의 대죄: 빛에 저주받은 자들,관람객 평점 없음,"['애니메이션', 'SF', '판타지']",일본,79분,['미상'],"['카지 유우키', '아마미야 소라', '쿠노 미사키']",15세 관람가,https://movie-phinf.pstatic.net/20211018_292/1634525952830t8Ji2_JPEG/movie_image.jpg?type=m203_290_2,['마침내 성전이 끝났다. 3천 년에 걸친 싸움에 종지부를 찍은 일곱 대죄. 하지만 혼돈을 바라는 자들이 모두 사라진 것은 아니었으니. 새로운 적에 맞서 세계를 구한 대죄인들이 다시 집결한다.']
