,title,vote,country,time,open_date,grade,poster_path,genre_1,genre_2,genre_3,genre_4,actor_1,actor_2,actor_3,content
14,우리가 죽기를 바라는 사람들,관람객 평점 없음,미국,102분,2021.09,전체 관람가,https://movie-phinf.pstatic.net/20210903_95/1630636189023FPfU2_JPEG/movie_image.jpg?type=m203_290_2,스릴러,,,,시옵한 폴론,,,"올해 대학에 입학한 첫째 아들 지미의 클럽 활동과 기상 시간까지 챙기는 바바라는 네 아이의 엄마다.<br/>어느 날, 대학 클럽 신고식에서 지미가 사망하는 사고가 발생하지만 어느 누구도 책임지려 하지 않는다.<br/>긴 시간을 침묵으로 기다린 바바라는 잠시 집안일을 미뤄 둔 채 지미를 위한 프로젝트를 시작하는데..."
15,극장판 마이 리틀 포니: 새로운 희망,관람객 평점 없음,미국,90분,2021.09.22,전체 관람가,https://movie-phinf.pstatic.net/20210902_69/1630551063783FBxOi_JPEG/movie_image.jpg?type=m203_290_2,애니메이션, 모험,,,제인 크라코스키, 바네사 허진스, 제임스 마스던,"포니, 페가수스, 유니콘이 함께 조화를 이루며 살던 이퀘스트리아.<br/>하지만 평화가 사라져버린 그곳, 신비로운 마법의 힘마저 잃었다.<br/><br/>예전처럼 모두가 친구가 될 수 있다고 믿는 어스 포니 ‘써니’에게<br/>신비한 뿔을 가진 유니콘 ‘이지’가 나타나고, 운명처럼 친구가 된 둘은<br/>잃어버린 이퀘스트리아의 마법과 우정을 되찾기 위해 머나먼 모험을 떠나는데…<br/><br/>과연, 친구들은 사라진 마법의 힘을 되찾을 수 있을까?<br/><br/>거대한 세계를 뒤바꿀 작은 포니들의 새로운 모험이 시작된다!"
17,사제로부터 온 편지,관람객 평점 없음,한국,100분,2021.08.19,전체 관람가,https://movie-phinf.pstatic.net/20210811_91/1628665925767HcBiN_JPEG/movie_image.jpg?type=m203_290_2,다큐멘터리, 드라마,,,김학렬, 김용태, 김옥희,"1845년, 사제직에 오른 첫 조선인이 탄생한다.', <br/>그의 이름 성 김대건 안드레아.', <br/>', <br/>천주교를 향한 온갖 박해와 고난 속에서도', <br/>평등사상과 박애주의를 실천하고자 했던 그는', <br/>', <br/>서양 성직자 입국 해로 탐색 도중 체포되어,', <br/>25년 25일이라는 짧은 생을 마치고', <br/>한국인 사제로서 최초의 순교자가 되었다.', <br/>', <br/>절망의 시대, 희망을 향한 여정을 걸었던 청년 김대건이', <br/>2021년, 고난의 시간을 겪고 있을 청년들에게', <br/>격려와 새로운 희망의 메시지를 전한다."
19,킬러의 보디가드 2: 킬러의 와이프,관람객 평점 없음,미국,100분,2021.08.04,15세 관람가,https://movie-phinf.pstatic.net/20210811_5/1628669399436Gf71V_JPEG/movie_image.jpg?type=m203_290_2,액션, 코미디, 범죄,,라이언 레이놀즈, 사무엘 L. 잭슨, 셀마 헤이엑,"미치광이 킬러 ‘다리우스’의 경호를 맡은 후 ', <br/>매일 밤 그의 악몽을 꾸는 보디가드 ‘마이클’ 앞에 나타난 무대포 직진녀 ‘소니아’', <br/>남편 ‘다리우스’가 납치되었다며 다짜고짜 그를 구하러 가야 한다고 하는데…', <br/>', <br/>한 명도 버거운데 그의 와이프까지 플러스?!', <br/>설상가상으로 유럽 전역을 위기로 몰아넣는 사건들이 연속적으로 터지고', <br/>인터폴의 비밀스러운 의뢰까지 추가되는데..', <br/>', <br/>2배 더 강력한, 2배 더 골때리는, 2배 더 커진', <br/>모두가 기다린 1+1 트리플 환장 액션 블록버스터가 온다!"
22,언노운 아이덴티티,관람객 평점 없음,미국,84분,2021.08,15세 관람가,https://movie-phinf.pstatic.net/20210723_42/1627031882745h9l1X_JPEG/movie_image.jpg?type=m203_290_2,액션, 스릴러,,,섀넌 루치오,,,"기억을 잃고 한 호텔 방에서 일어난 여자. 그리고 그 방에서 발견된 시체.<br/>지금 당장 도망쳐야 한다는 한 통의 전화를 받은 그녀는 영문도 모른 채 도망치기 시작한다.<br/>의문의 조직이 그녀를 뒤쫓기 시작하고, 여자는 일촉즉발의 상황에서<br/>자신의 언니라고 주장하는 '빅토리아'의 도움으로 가까스로 위기를 모면한다., <br/>하지만 조직은 끈질기게 그녀를 쫓아오고,<br/>여자는 조금씩 잃어버린 기억의 조각들을 되찾으면서 혼란에 빠지는데…"
24,데빌스 나잇,관람객 평점 없음,미국,97분,2021.08.05,15세 관람가,https://movie-phinf.pstatic.net/20210727_259/16273502080747uURQ_JPEG/movie_image.jpg?type=m203_290_2,액션, 범죄, 공포,,나폴렌,,,"참전 용사였던 ‘빌리’는 고향으로 돌아와 경찰이 되고<br/>마을에서 벌어지는 잔혹한 연쇄 살인의 수사를 맡게 된다.<br/><br/>그러나 살인범에 대한 단서를 찾을 수 없어<br/>수사는 점점 미궁에 빠진다.<br/><br/>그러던 중, 단서를 얻기 위해 소개받은<br/>디트로이트 박물관의 ‘카히르’ 박사를 만난 ‘빌리’는<br/>그곳에서 전설 속 괴물 이야기를 듣게 되는데…"
25,척살대,관람객 평점 없음,중국,86분,2021.08.03,15세 관람가,https://movie-phinf.pstatic.net/20210727_110/1627365064806pJX0i_JPEG/movie_image.jpg?type=m203_290_2,액션,,,,진일나,,,"마도문의 제자 ‘아청’은 사부의 명으로 당문의 장문에게 서신을 전달하려 길을 떠난다.<br/>허나 당문을 비롯한 강호의 각 무림 장문들이 원인 모를 독에 중독되어 사경을 헤매게 되고<br/>그 원인이 불양수의 음모임을 알게 된 ‘아청’은 창술의 ‘복풍’, 상인 ‘강약신’등 동료들과 함께<br/>강호의 평화를 위한 마지막 전투를 준비한다."
28,블러드 비스트,관람객 평점 없음,미국,80분,2021.08.26,청소년 관람불가,https://movie-phinf.pstatic.net/20210720_202/1626764332857gKHid_JPEG/movie_image.jpg?type=m203_290_2,액션, 공포,,,스티븐 모라나, 아리 밀런, 콜므 포어,"붉은 보름달이 뜨는 특별한 저녁, 새로운 공포 게임 앱 ""Werewolves Awaken""의 화려한 런칭 파티가 성대하게 열리고 있다. 천재적인 젊은 개발자 어거스트는 회사에서 떠밀리다시피 파티에 참석한 상황. 게임을 ""야수의 표식""으로 비난하는 로만 신부의 갑작스런 등장으로 어수선해지고, 더구나 잔인하게 훼손된 시체가 발견되면서 파티는 아수라장이 된다. 마침내 살인자는 무시무시한 이빨과 발톱을 드러내고 생존자들과의 처절한 살인게임이 벌어진다."
29,대환장파티,관람객 평점 없음,한국,76분,2021.07.22,청소년 관람불가,https://movie-phinf.pstatic.net/20210712_55/1626077437044RUiWr_JPEG/movie_image.jpg?type=m203_290_2,드라마, 코미디,,,류혜린, 노진원, 안민영,"<뻘짓> : 밤의 황제이자 세상 무서울 것 없는 망나니, ‘승민’. 그런 그에게 인생 가장 큰 걸림돌은 바로 입대다.<br/>군 면제 사유에 아무 해당 사항이 없어 슬픈 ‘승민’에게 ‘희성’과 ‘정민’이 군 면제의 길을 제시하는데...<br/>더 놀고 싶은 세 남자의 황당무계 ‘뻘짓’ 감행기.<br/><br/><군대 가는 남자> : 군대 대신 병역특례업체를 갈 예정이던 ‘창선’은 갑자기 바뀐 법 때문에 군대에 끌려갈 상황에 처한다.<br/>우선 연기하고 보자는 생각으로 인터넷에서 정보를 찾다가 ‘군대 가기 싫은 사람들의 모임’이라는 카페를 발견하는데...<br/><br/><동상이몽> : 남편이 사고로 죽고, 홀로 시어머니를 모시며 살아가는 ‘말자’.<br/>유산 상속을 목적으로 내연남 ‘하남’과 작당모의해 시어머니를 죽이려 하지만 매번 실패한다.<br/>그러던 어느 날 코로나19가 발생하자, ‘말자’는 마지막 희망(?)을 걸고 시어머니의 죽음을 기획하는데...<br/><br/><새벽 3시 르네상스> : 어느 날씨 좋은 가을밤 일요일 새벽 3시.<br/>오늘도 모자란 술과 감성을 채워주는 편의점에 각양각색 다양한 사람들이 모이기 시작한다.<br/>이곳은 유토피아(Utopia)일까?"
30,아메리칸 트레이터,관람객 평점 없음,미국,108분,2021.08,15세 관람가,https://movie-phinf.pstatic.net/20210714_100/16262493905488HqJi_JPEG/movie_image.jpg?type=m203_290_2,전쟁, 드라마,,,알 파치노, 토마스 크레취만, 미도우 윌리암스,"제2차 세계 대전이 끝난 직후,<br/>미국 정부는 평범한 여성을 반역죄 혐의 8건으로 긴급 체포한다.<br/>그녀의 이름은 밀드레드 길라스 a.k.a '액세스 샐리'., <br/>밀드레드는 독일 나치 선전부 장관 '괴벨스'(토마스 크레취만)의 지휘 아래,, <br/>미군의 사기를 떨어트리는 선전 방송을 진행해 미국 국민들의 증오를 한 몸에 받는다.<br/>그녀의 반역죄 유무를 결정하는 재판에 온 국민의 관심이 쏟아지고,<br/>유명 변호사인 '제임스 라플린'(알 파치노)이 밀드레드의 변호를 맡게 되면서 새로운 국면을 맞이하는데...""]"
