10,퍼스트 카우,8.22,미국,122분,https://movie-phinf.pstatic.net/20211012_205/1634026497745yCh3c_JPEG/movie_image.jpg?type=m203_290_2,존 마가로, 오리온 리,,2021,11,4,"19세기 서부 개척 시대,사냥꾼들의 식량을 담당하는 쿠키는표적이 되어 쫓기는 킹 루를 구해준다.몇 년 후 정착한 마을에서 재회한 이들은마을의 유일한 젖소의 우유를 훔쳐빵을 만들어 돈을 벌기로 하는데…“우리에게는 지금이 기회야”"
11,세버그,7.84,미국,102분,https://movie-phinf.pstatic.net/20211006_23/1633511553885KKbLJ_JPEG/movie_image.jpg?type=m203_290_2,크리스틴 스튜어트, 안소니 마키, 잭 오코넬,2021,11,4,"1960년대, 할리우드와 프랑스를 오가며 활동하는 배우이자 누벨바그를 대표하는 아이콘 진 세버그(크리스틴 스튜어트)는흑인 인권 운동가 하킴 자말(안소니 마키)을 통해 적극적으로 인권 운동에 참여하지만, 이로 인해 FBI의 주목을 받게 된다.정부를 비난하는 진의 거침없는 행보에 FBI는 신입요원 잭 솔로몬(잭 오코넬)에게진과 하킴을 24시간 도청할 것을 지시하고 진의 가족과 명예, 그리고 경력까지 망가뜨리기 위한 음모를 꾸미는데…가장 강렬한 실화가 펼쳐진다!"
12,이터널스,6.66,미국,155분,https://movie-phinf.pstatic.net/20211026_97/1635213484861yCnwO_JPEG/movie_image.jpg?type=m203_290_2,안젤리나 졸리, 마동석, 리차드 매든,2021,11,3,"[""마블 스튜디오의 <이터널스>는 수 천년에 걸쳐 그 모습을 드러내지 않고 살아온 불멸의 히어로들이 <어벤져스: 엔드게임> 이후 인류의 가장 오래된 적 '데비안츠'에 맞서기 위해 다시 힘을 합치면서 벌어지는 이야기""]"
13,가치 캅시다,7.40,한국,93분,https://movie-phinf.pstatic.net/20211012_41/1634028856253Gj3tU_JPEG/movie_image.jpg?type=m203_290_2,김기현, 강형석, 남지우,2021,10,28,"대한민국에서 영어 좀 한다는 남자라면 혹하는, 일생에 단 한 번만 지원할 수 있는 군대 카투사. 엘리트 명문대와 금수저들이 장악한 이 곳에 최종 학력 고졸의 말년 병장 추해진이 있다. 어떤 의미로든 전설로 불리는 해진은 학연, 지연, 혈연까지 온갖 차별이 판치는 한국 탈출을 위한 돌파구로 ‘미군’을 준비한다. 갖은 모욕에도 비굴한 웃음을 잃지 않고 최선을 다한 결과, 미군 입대를 눈앞에 두고 느닷없는 절도사건에 휘말리면서 탄원서에5명의 서명을 받아야만 한다. 절친한 동갑내기 후임, 재벌아들 이등병, 전 여친을 빼앗은 후임, 미군이 되기 위해서라면 선임이고 후임이고 누구에게라도 머리를 조아리고 한 명씩 찾아 나선다. 인종주의자 미군헌병에게 총을 맞을 뻔하면서까지 고군분투하던 해진은 필사적으로 서명을 받아내지만, 자신이 미군이 된다는 것을 지독히 반대하는 누군가를 설득해야 하는 마지막 절차가 남았는데...! “아무 것도 가진 것 없는 네가 잘 되는 게 그냥 싫어!”한국을 벗어나기 위한 선택지가 미군이 되는 것, 그 하나만이 아니었다?!눈 돌아간 해진의 충격적인 반격을 확인하라!"
14,숏버스 섬뜩행,7.00,한국,87분,https://movie-phinf.pstatic.net/20211022_260/1634891827706iPH7R_PNG/movie_image.jpg?type=m203_290_2,천하영, 김벼리, 백지혜,2021,10,28,"심장을 움켜쥐는 의심의 서막. 그림자 드리운 마음 한 켠, 숨어있던 또 다른 나를 만난다.', ', 지옥에 가지 않기 위한 기도 <신에게 보내는 편지>', 흔들리는 믿음과 현실 사이 악몽 <망치>', 옥죄어오는 무거운 시선 <그랑주떼>', 임신과 함께 찾아온 알 수 없는 불안 <사마귀>', ', ""등골 서늘한 상상... 언제쯤 멈출 수 있을까?""', 네 편의 섬뜩한 악몽 속으로 초대합니다."
15,퍼펙트 스틸,5.00,미국,93분,https://movie-phinf.pstatic.net/20211012_260/1634026963042XmpdA_JPEG/movie_image.jpg?type=m203_290_2,존 보예가, 올리비아 쿡, 빌 스카스가드,2021,10,28,"비슷한 일상에 지쳐 있는 국선 변호사 ‘캐시’.어느 날, 그의 클라이언트인 ‘리아’가 찾아와경매에 나온 수상한 SUV의 이야기를 해준다.SUV에는 1,500만 달러 어치 마약이 숨겨져 있다는 것.이에 ‘캐시’는 아무도 모르는 새에 마약을 챙기는완벽한 계획을 세우는데…"
16,당신은 믿지 않겠지만,5.89,일본,128분,https://movie-phinf.pstatic.net/20210927_188/1632733173099Ds1rm_JPEG/movie_image.jpg?type=m203_290_2,이케마츠 소스케, 최희서, 오다기리 죠,2021,10,28,"서울에서 사업으로 잘나간다는 형 토오루(오다기리 죠)의 말만 믿고아들을 데리고 무작정 한국으로 날아온 츠요시(이케마츠 소스케)는동업자에게 사기를 당한 형 때문에 하루아침에 낯선 서울 길바닥에 나앉을 위기에 처한다.그러자 토오루는 기발한 사업 아이템이 있다며 좌절한 츠요시를 꼬셔 강릉으로 향하고,기차 안에서 우연히 사연이 가득해 보이는 삼 남매 솔(최희서), 봄(김예은), 정우(김민재)를 만나 동행하게 되는데…불운만 가득했던 인생에 벌어진 우연 같은 운명!기적이 간절할 때, 우리는 만났다!"
17,바람아 안개를 걷어가다오,6.00,한국,73분,https://movie-phinf.pstatic.net/20211013_87/16340930311909LMpJ_JPEG/movie_image.jpg?type=m203_290_2,김혜정, 신정웅, 노윤정,2021,10,28,"엄마에게서 걸려온 전화를 받고군말 없이 집으로 내려온 아들은엄마가 들려주는 시시콜콜한 이야기와구슬픈 노래를 담담하게 듣는다.엄마와 아들, 서로를 생각하는 애틋한 마음이바람이 되어 안개를 걷어갈 수 있을까?때로는 지긋하고 때로는 애틋한 엄마와 아들,우리 시대 가족 이야기를 만난다"
18,바다 탐험대 옥토넛 : 육지수호 대작전,6.00,영국,60분,https://movie-phinf.pstatic.net/20210924_146/1632472857227W3TMy_JPEG/movie_image.jpg?type=m203_290_2,하성용, 정재헌, 엄상현,2021,10,27,"바다 폭풍에 휩쓸린 옥토넛은 우연히 사막에 상륙한다.바다 너머 육지에도 다양한 문제들이 있음을 알게 된 옥토넛.‘옥토 요원’으로 새 친구 ‘포니’가 합류하고,옥토포드 조종사 ‘대쉬’는 새로운 탐험선 ‘옥토레이’에 탑승해사상최초 육지수호 대작전을 이끄는데...해안부터 사막까지, 깊은 바다에서 높은 산 정상까지!옥토넛의 새로운 모험이 지금 시작된다!"
19,고장난 론,8.48,미국,106분,https://movie-phinf.pstatic.net/20211013_94/1634115796140K407h_JPEG/movie_image.jpg?type=m203_290_2,자흐 갈리피아나키스, 잭 딜런 그레이저, 올리비아 콜맨,2021,10,27,"비봇을 갖는 것이 유일한 소원인 소심한 소년 ‘바니’에게도', 드디어 ‘론’이라는 비봇이 생겼다.', ', 그러나 첨단 디지털 기능과 소셜 미디어로 연결된 다른 비봇들과는 달리,', 네트워크 접속이 불가능한 고장난 '론'"", ', 자유분방하고 엉뚱한 '론'으로 인해 벌어지는"", 엉망진창, 스릴 넘치는 모험을 함께하며', '바니'는 진실한 우정이 무엇인지 점점 깨닫게 되는데.."", ', <인사이드 아웃> & <인크레더블 2> 제작진이 선사하는', 새로운 우정과 특별한 모험이 시작된다!"
20,아네트,7.63,프랑스,141분,https://movie-phinf.pstatic.net/20211027_123/1635324527597B4R9C_JPEG/movie_image.jpg?type=m203_290_2,아담 드라이버, 마리옹 꼬띠아르,,2021,10,27,"예술가들의 도시 LA, 오페라 가수 `안(마리옹 꼬띠아르)`과', 스탠드업 코미디언 `헨리(아담 드라이버)`는 첫눈에 서로에게 이끌린다.', 함께 인생을 노래하는 두 사람에게 무대는 계속되지만, 그곳엔 빛과 어둠이 함께한다."
21,할로윈 킬즈,6.88,미국,105분,https://movie-phinf.pstatic.net/20210928_113/1632814661334r0DSG_JPEG/movie_image.jpg?type=m203_290_2,제이미 리 커티스, 주디 그리어, 앤디 마티첵,2021,10,27,"할로윈 밤의 살아 있는 공포 ‘마이클 마이어스’로 인해 오래도록 고통받으며 살아온 ‘로리 스트로드’그녀는 딸 ‘캐런’, 손녀 ‘앨리슨’과 함께 ‘마이클’을 자신의 집 지하실에 가두고 불을 지르는 데 성공한다.하지만 모든 것이 끝났음을 실감하기도 잠시, 그가 지하실을 탈출했다는 절망적인 소식을 듣게 되고이어 ‘마이클’의 살인이 벌어지면서 해든필드 주민들은 또 다시 공포와 혼란에 빠진다.더 이상의 피해를 막기 위해 ‘로리 스트로드’와 ‘캐런’, ‘앨리슨’은해든필드 주민들과 그를 사냥하기 위한 추적을 시작하는데…“악마는 오늘 밤 죽는다!”"
22,당신얼굴 앞에서,7.25,한국,85분,https://movie-phinf.pstatic.net/20210908_98/1631077678630Mtkxn_JPEG/movie_image.jpg?type=m203_290_2,이혜영, 조윤희, 권해효,2021,10,21,"그녀는 고층 아파트에 있어 본 적이 없다.여동생은 어떻게 이런 높은 곳에 살면서 괜찮은 걸까, 란 의문이 든다.며칠 전부터 동생 집에 불쑥 들어와 살면서 한국에 다시 사는 걸 경험하고 있다.숨기는 비밀이 있는 것 같지만, 그래도 하루하루에 집중하며 살게 하는 맘 챙김을 잘하고 있다.한 그녀보다 나이 어린 영화감독이 그녀를 영화에 쓰고 싶다고 연락이 왔고,한두 번의 사양을 거쳐 오늘 그 감독을 만나러 간다.서울 도심 어느 골목에 있는 작고 오래된 술집에서 낮술을 마시는데 비가 내리고 천둥이 친다."
23,보이 비하인드 도어,7.00,미국,88분,https://movie-phinf.pstatic.net/20210929_39/1632902969631UpKR0_JPEG/movie_image.jpg?type=m203_290_2,크리스틴 바우어,,,2021,10,21,"수업을 마치고 집으로 돌아가던 두 명의 소년이 납치됐다.인적이 드문 외딴 숲속, 모든 문이 밖에서 잠긴 낯선 주택 안에 갇히게 된 케빈과 바비.설상가상으로 케빈은 손과 발이 결박된 채 주택 안 비밀스러운 장소에 홀로 남겨지게 된다.두 소년을 납치한 범인은 누구이며, 이유는 무엇인가?그리고 과연 소년들은 무사히 탈출할 수 있을까?"
24,휴가,7.92,한국,81분,https://movie-phinf.pstatic.net/20211006_91/1633499424897IVAHO_JPEG/movie_image.jpg?type=m203_290_2,이봉하, 김아석, 신운섭,2021,10,21,"해고 5년차, 천막농성 1882일째재복은 노조가 정리해고무효소송에서최종 패소하자 열흘 간 집으로 휴가를 떠나온다.오랜만에 가족들도 챙기고 아르바이트로 돈도 벌며잊고 있던 워킹&쿠킹 홀리데이로 일상의 즐거움을 발견한다.휴가의 끝이 보일 즈음 재복의 두 딸은,아빠가 농성장으로 돌아가지 않길 바라는데..."
