0,가족
1,SF
2,드라마
3,판타지
4,모험
5,액션
6,스릴러
7,공연실황
8,미스터리
9,서스펜스
10,뮤지컬
11,코미디
12,애니메이션
13,다큐멘터리
14,멜로/로맨스
15,범죄
16,공포
17,전쟁
